system   I             system.c:245  al_install_system                [   0.00365] Allegro version: 5.1.12 (WIP)
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.01583] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.01600] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.02322] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.15167] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.15523] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.15537] al_display=00C1D5D8
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.15573] al_display->vt=00C1FB28
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.16492] found 64 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.16505] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16513] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16522] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16536] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16542] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16550] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16555] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16563] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16568] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16575] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16588] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16596] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16601] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16608] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16614] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16621] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16626] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16638] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16644] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16651] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16656] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16664] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16669] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16677] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16682] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16700] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16720] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16774] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16785] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16794] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16799] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.16896] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.16904] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.16912] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.16995] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17007] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17013] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17021] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17027] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17036] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17049] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17057] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17063] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17084] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17090] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17098] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17104] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17111] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17117] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17124] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17140] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17152] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17157] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17165] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17171] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17192] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17199] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17207] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17212] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17219] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17225] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17236] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17241] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17249] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17254] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17262] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17267] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17274] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17279] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17287] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17292] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17299] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17304] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17312] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17317] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17324] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17330] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17337] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17342] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17350] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17355] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17362] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17367] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17375] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17380] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17387] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17392] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17400] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17405] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17413] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17418] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17425] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17432] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17445] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17452] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.17459] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.17464] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17470] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17476] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17482] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17488] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17494] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17499] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17506] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17511] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17518] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17523] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17530] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17536] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17542] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17547] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17554] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17559] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17566] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17571] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17577] Single Buffer requirement not met.
